timestamp,kW,kW_scaled
2022-09-01 01:40:30,0.472,14.24657534246575
2022-09-01 01:41:01,0.468,13.698630136986306
2022-09-01 01:41:30,0.471,14.109589041095887
2022-09-01 01:42:00,0.529,22.05479452054795
2022-09-01 01:42:31,0.459,12.465753424657537
2022-09-01 01:43:00,0.451,11.369863013698632
2022-09-01 01:43:31,0.466,13.42465753424658
2022-09-01 01:44:00,0.502,18.356164383561648
2022-09-01 01:44:31,0.468,13.698630136986306
2022-09-01 01:45:01,0.549,24.794520547945215
2022-09-01 01:45:31,0.464,13.150684931506852
2022-09-01 01:46:00,0.472,14.24657534246575
2022-09-01 01:46:30,0.474,14.520547945205477
2022-09-01 01:47:01,0.521,20.958904109589046
2022-09-01 01:47:30,0.466,13.42465753424658
2022-09-01 01:48:01,0.516,20.27397260273973
2022-09-01 01:48:31,0.469,13.835616438356162
2022-09-01 01:49:00,0.492,16.986301369863014
2022-09-01 01:49:31,0.466,13.42465753424658
2022-09-01 01:50:00,0.552,25.205479452054803
2022-09-01 01:50:30,0.472,14.24657534246575
2022-09-01 01:51:00,0.474,14.520547945205477
2022-09-01 01:51:31,0.473,14.383561643835614
2022-09-01 01:52:01,0.45,11.232876712328768
2022-09-01 01:52:30,0.462,12.876712328767127
2022-09-01 01:53:00,0.461,12.739726027397264
2022-09-01 01:53:30,0.47,13.972602739726025
2022-09-01 01:54:01,0.508,19.178082191780824
2022-09-01 01:54:31,0.452,11.506849315068495
2022-09-01 01:55:01,0.537,23.15068493150686
2022-09-01 01:55:30,0.471,14.109589041095887
2022-09-01 01:56:01,0.526,21.643835616438363
2022-09-01 01:56:31,0.475,14.65753424657534
2022-09-01 01:57:01,0.528,21.917808219178088
2022-09-01 01:57:30,0.468,13.698630136986306
2022-09-01 01:58:01,0.486,16.164383561643834
2022-09-01 01:58:30,0.467,13.561643835616444
2022-09-01 01:59:01,0.53,22.191780821917817
2022-09-01 01:59:31,0.463,13.01369863013699
2022-09-01 02:00:01,0.518,20.547945205479458
2022-09-01 02:00:30,0.471,14.109589041095887
2022-09-01 02:01:01,0.508,19.178082191780824
2022-09-01 02:01:30,0.489,16.575342465753423
2022-09-01 02:02:00,0.517,20.41095890410959
2022-09-01 02:02:31,0.456,12.054794520547947
2022-09-01 02:03:00,0.517,20.41095890410959
2022-09-01 02:03:30,0.46,12.602739726027401
2022-09-01 02:04:01,0.49,16.71232876712329
2022-09-01 02:04:30,0.47,13.972602739726025
2022-09-01 02:05:01,0.536,23.013698630136993
2022-09-01 02:05:30,0.465,13.287671232876717
